timestamp,title,source,url,market_closed
2016-05-18,LSE to hold Deutsche Boerse merger vote in July,By Reuters,https://www.investing.com/news/stock-market-news/lse-to-hold-deutsche-boerse-merger-vote-in-july-402725,0.0
2016-06-03,Gulf investors hold back from UK property deals on Brexit fears,By Reuters,https://www.investing.com/news/stock-market-news/gulf-investors-hold-back-from-uk-property-deals-on-brexit-fears-406339,0.0
2016-06-12,"China's yuan trade system to open branches in London, New York",By Reuters,"https://www.investing.com/news/stock-market-news/china's-yuan-trade-system-to-open-branches-in-london,-new-york-407919",1.0
2016-06-28,Regulators examining LSE-Boerse merger after Brexit vote: German finance ministry,By Reuters,https://www.investing.com/news/stock-market-news/regulators-examining-lse-boerse-merger-after-brexit-vote:-german-finance-ministry-411060,0.0
2016-06-28,Top German regulator says no to London HQ for Deutsche Boerse-LSE,By Reuters,https://www.investing.com/news/economy-news/top-german-regulator-says-no-to-london-hq-for-deutsche-boerse-lse-411056,0.0
2016-06-29,Market infrastructure coped well with Brexit fallout: EU watchdog,By Reuters,https://www.investing.com/news/economy-news/market-infrastructure-coped-well-with-brexit-fallout:-eu-watchdog-411276,0.0
2016-07-04,European stocks mostly lower as financials weigh; DAX down 0.15%,By Investing.com,https://www.investing.com/news/stock-market-news/european-stocks-mostly-lower-as-financials-weigh;-dax-down-0.15-412246,0.0
2016-07-05,May leads three-horse PM race as Brexit hits pound and property,By Reuters,https://www.investing.com/news/world-news/brexit-worries-hit-uk-economy-as-conservatives-start-choosing-pm-412486,0.0
2016-07-06,"Brexit shock may boost, not hinder, yuan internationalization",By Reuters,"https://www.investing.com/news/stock-market-news/brexit-shock-may-boost,-not-hinder,-yuan-internationalization-412659",0.0
2016-07-06,EU finance chief wants system to wind down troubled clearing houses,By Reuters,https://www.investing.com/news/stock-market-news/eu-finance-chief-wants-system-to-wind-down-troubled-clearing-houses-412691,0.0
2016-08-10,Nasdaq to launch incentives to spur trading in low-volume ETFs,By Reuters,https://www.investing.com/news/stock-market-news/nasdaq-to-launch-incentives-to-spur-trading-in-low-volume-etfs-419570,0.0
2016-08-17,U.K. stocks lower at close of trade; Investing.com United Kingdom 100 down 0.48%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-lower-at-close-of-trade;-investing.com-united-kingdom-100-down-0.48-420886,0.0
2016-08-24,Buba's Dombret says eyes LSE-Deutsche Boerse merger with some concern,By Reuters,https://www.investing.com/news/economy-news/buba's-dombret-says-eyes-lse-deutsche-boerse-merger-with-some-concern-422051,0.0
2016-09-13,U.K. stocks lower at close of trade; Investing.com United Kingdom 100 down 0.57%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-lower-at-close-of-trade;-investing.com-united-kingdom-100-down-0.57-425902,0.0
2016-09-26,U.K. stocks lower at close of trade; Investing.com United Kingdom 100 down 1.35%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-lower-at-close-of-trade;-investing.com-united-kingdom-100-down-1.35-428519,0.0
2016-09-28,Swiss Exchange confident of post-Brexit access to EU stock market,By Reuters,https://www.investing.com/news/stock-market-news/swiss-exchange-confident-of-post-brexit-access-to-eu-stock-market-429011,0.0
2016-09-28,"EU warns Deutsche Boerse, LSE deal could harm competition",By Reuters,"https://www.investing.com/news/stock-market-news/eu-regulators-to-investigate-deutsche-boerse,-lse-mega-deal-429008",0.0
2016-10-25,"'Siri, catch market cheats': Wall Street watchdogs turn to A.I.",By Reuters,"https://www.investing.com/news/technology-news/'siri,-catch-market-cheats':-wall-street-watchdogs-turn-to-a.i-434453",0.0
2016-10-31,U.S. Treasury's Lew urges UK and EU to ensure smooth Brexit,By Reuters,https://www.investing.com/news/economy-news/u.s.-treasury's-lew-urges-uk-and-eu-to-ensure-smooth-brexit-436125,0.0
2016-11-01,HSBC appoints former LSE chief Clara Furse to chair UK retail bank,By Reuters,https://www.investing.com/news/economy-news/hsbc-appoints-former-lse-chief-clara-furse-to-chair-uk-retail-bank-436454,0.0
