timestamp,Val,label
2013-10-02,453560,0
2013-10-03,284490,0
2013-10-04,241030,0
2013-10-07,364750,0
2013-10-08,299880,0
2013-10-09,292300,0
2013-10-10,215350,0
2013-10-11,219130,0
2013-10-14,231970,0
2013-10-15,571070,0
2013-10-16,521140,0
2013-10-17,371040,0
2013-10-18,360620,0
2013-10-21,159130,0
2013-10-22,329010,0
2013-10-23,206780,0
2013-10-24,145820,0
2013-10-25,346250,0
2013-10-28,212310,0
2013-10-29,206520,0
2013-10-30,352590,0
2013-10-31,826470,0
2013-11-01,272960,0
2013-11-04,325780,0
2013-11-05,402570,0
2013-11-06,305030,0
2013-11-07,448650,0
2013-11-08,454790,0
2013-11-11,135190,0
2013-11-12,214650,0
2013-11-13,632100,0
2013-11-14,501130,0
2013-11-15,723350,0
2013-11-18,283990,0
2013-11-19,252950,0
2013-11-20,424120,0
2013-11-21,362820,0
2013-11-22,295280,0
2013-11-25,292580,0
2013-11-26,630160,0
2013-11-27,230910,0
2013-11-28,167390,0
2013-11-29,232450,0
2013-12-02,376520,0
2013-12-03,242020,0
2013-12-04,363230,0
2013-12-05,262600,0
2013-12-06,616050,0
2013-12-09,215030,0
2013-12-10,300220,0
2013-12-11,319380,0
2013-12-12,226360,0
2013-12-13,183950,0
2013-12-16,189800,0
2013-12-17,329460,0
2013-12-18,282940,0
2013-12-19,542770,0
2013-12-20,587260,1
2013-12-23,250590,1
2013-12-24,75110,1
2013-12-27,195250,1
2013-12-30,165410,1
2013-12-31,70410,1
2014-01-02,285480,0
2014-01-03,250450,0
2014-01-06,278040,0
2014-01-07,340790,0
2014-01-08,346750,0
2014-01-09,426270,0
2014-01-10,287910,0
2014-01-13,135580,0
2014-01-14,343760,0
2014-01-15,345500,0
2014-01-16,353060,0
2014-01-17,423350,0
2014-01-20,477740,0
2014-01-21,323980,0
2014-01-22,386820,0
2014-01-23,573560,0
2014-01-24,467230,0
2014-01-27,398060,0
2014-01-28,364280,0
2014-01-29,486580,0
2014-01-30,360370,0
2014-01-31,419620,0
2014-02-03,304590,0
2014-02-04,571470,0
2014-02-05,324040,0
2014-02-06,295990,0
2014-02-07,476370,0
2014-02-10,298440,0
2014-02-11,468380,0
2014-02-12,374970,0
2014-02-13,1360000,0
2014-02-14,447170,0
2014-02-17,304140,0
2014-02-18,433530,0
2014-02-19,284470,0
2014-02-20,304290,0
2014-02-21,483470,0
2014-02-24,312380,0
2014-02-25,548190,0
2014-02-26,331140,0
2014-02-27,370680,0
2014-02-28,440070,0
2014-03-03,372040,0
2014-03-04,422490,0
2014-03-05,399900,0
2014-03-06,227970,0
2014-03-07,321890,0
2014-03-10,419810,0
2014-03-11,308980,0
2014-03-12,455810,0
2014-03-13,362820,0
2014-03-14,314680,0
2014-03-17,358690,0
2014-03-18,383390,0
2014-03-19,372470,1
2014-03-20,956210,1
2014-03-21,713660,1
2014-03-24,240070,1
2014-03-25,330380,1
2014-03-26,255160,1
2014-03-27,435000,0
2014-03-28,273010,0
2014-03-31,621400,0
2014-04-01,383930,0
2014-04-02,437100,0
2014-04-03,415120,0
2014-04-04,286090,0
2014-04-07,394080,0
2014-04-08,509180,0
2014-04-09,380590,0
2014-04-10,251260,0
2014-04-11,528620,0
2014-04-14,406060,0
2014-04-15,828260,0
2014-04-16,413380,0
2014-04-17,361490,0
2014-04-22,255690,0
2014-04-23,234730,0
2014-04-24,242430,0
2014-04-25,182480,0
2014-04-28,326890,0
2014-04-29,329940,0
2014-04-30,406070,0
2014-05-01,333350,0
2014-05-02,435100,0
2014-05-06,410430,0
2014-05-07,408820,0
2014-05-08,241890,0
2014-05-09,273800,0
2014-05-12,306940,0
2014-05-13,850690,0
2014-05-14,729710,0
2014-05-15,954540,0
2014-05-16,748040,0
2014-05-19,499500,0
2014-05-20,656800,0
2014-05-21,308870,0
2014-05-22,365690,0
2014-05-23,414900,0
2014-05-27,614190,0
2014-05-28,775960,0
2014-05-29,369090,0
2014-05-30,476700,0
2014-06-02,396790,0
2014-06-03,267970,0
2014-06-04,1730000,0
2014-06-05,645170,0
2014-06-06,623260,0
2014-06-09,258329,0
2014-06-10,226950,0
2014-06-11,298260,0
2014-06-12,353860,0
2014-06-13,611690,0
2014-06-16,495620,0
2014-06-17,567790,0
2014-06-18,254290,0
2014-06-19,230890,0
2014-06-20,351770,0
2014-06-23,233770,0
2014-06-24,474780,0
2014-06-25,366710,0
2014-06-26,1270000,0
2014-06-27,358480,0
2014-06-30,722920,0
2014-07-01,492050,0
2014-07-02,497790,0
2014-07-03,564260,0
2014-07-04,246550,0
2014-07-07,361160,0
2014-07-08,438790,0
2014-07-09,563220,0
2014-07-10,2140000,0
2014-07-11,1090000,0
2014-07-14,848610,0
2014-07-15,442130,0
2014-07-16,800540,0
2014-07-17,1150000,0
2014-07-18,605500,0
2014-07-21,347930,0
2014-07-22,555580,0
2014-07-23,470010,0
2014-07-24,484400,0
2014-07-25,291040,0
2014-07-28,492040,0
2014-07-29,403590,0
2014-07-30,374000,0
2014-07-31,600580,0
2014-08-01,678090,0
2014-08-04,383420,0
2014-08-05,432420,0
2014-08-06,683830,0
2014-08-07,291120,0
2014-08-08,326900,0
2014-08-11,323600,0
2014-08-12,273740,0
2014-08-13,373500,0
2014-08-14,232600,0
2014-08-15,279650,0
2014-08-18,234140,0
2014-08-19,428180,0
2014-08-20,371340,0
