"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2015","9,430.22","9,407.30","9,435.19","9,286.86","-","0.24%"
"Jun 17, 2015","9,407.30","9,500.70","9,538.75","9,388.81","-","-0.98%"
"Jun 16, 2015","9,500.70","9,476.95","9,522.54","9,356.24","-","0.25%"
"Jun 15, 2015","9,476.95","9,652.91","9,652.91","9,470.94","-","-1.82%"
"Jun 12, 2015","9,652.91","9,765.49","9,765.49","9,605.38","-","-1.15%"
"Jun 11, 2015","9,765.49","9,722.48","9,819.42","9,695.64","-","0.44%"
"Jun 10, 2015","9,722.48","9,585.67","9,737.78","9,538.52","-","1.43%"
"Jun 09, 2015","9,585.67","9,649.77","9,664.71","9,539.87","-","-0.66%"
"Jun 08, 2015","9,649.77","9,714.02","9,731.16","9,649.77","-","-0.66%"
"Jun 05, 2015","9,714.02","9,895.43","9,895.43","9,695.91","-","-1.83%"
"Jun 04, 2015","9,895.43","10,014.22","10,014.22","9,871.14","-","-1.19%"
"Jun 03, 2015","10,014.22","9,966.61","10,061.94","9,966.61","-","0.48%"
"Jun 02, 2015","9,966.61","9,986.39","10,040.90","9,912.67","-","-0.20%"
"Jun 01, 2015","9,986.39","9,967.92","10,040.04","9,946.65","-","0.19%"
"May 29, 2015","9,967.92","10,041.34","10,087.56","9,938.78","-","-0.73%"
"May 28, 2015","10,041.34","10,022.13","10,041.34","9,979.14","-","0.19%"
"May 27, 2015","10,022.13","9,951.27","10,042.47","9,935.65","-","0.71%"
"May 26, 2015","9,951.27","10,048.16","10,076.78","9,936.18","-","-0.96%"
"May 22, 2015","10,048.16","10,009.34","10,069.92","10,009.34","-","0.39%"
"May 21, 2015","10,009.34","9,979.35","10,009.34","9,928.83","-","0.30%"
"May 20, 2015","9,979.35","9,981.25","10,016.52","9,951.00","-","-0.02%"
"May 19, 2015","9,981.25","9,878.09","9,992.72","9,878.09","-","1.04%"
"May 18, 2015","9,878.09","9,867.86","9,901.83","9,784.30","-","0.10%"
"May 15, 2015","9,867.86","9,795.61","9,918.67","9,795.61","-","0.74%"
"May 14, 2015","9,795.61","9,742.06","9,802.71","9,662.74","-","0.55%"
"May 13, 2015","9,742.06","9,704.38","9,790.19","9,704.38","-","0.39%"
"May 12, 2015","9,704.38","9,897.08","9,897.08","9,624.39","-","-1.95%"
"May 11, 2015","9,897.08","9,885.37","9,935.05","9,849.77","-","0.12%"
"May 08, 2015","9,885.37","9,566.55","9,951.83","9,566.55","-","3.33%"
"May 07, 2015","9,566.55","9,517.79","9,579.14","9,342.36","-","0.51%"
"May 06, 2015","9,517.79","9,645.10","9,646.16","9,505.51","-","-1.32%"
"May 05, 2015","9,645.10","9,753.28","9,837.37","9,645.10","-","-1.11%"
"May 01, 2015","9,753.28","9,826.78","9,833.17","9,712.69","-","-0.75%"
"Apr 30, 2015","9,826.78","9,831.48","9,867.44","9,746.46","-","-0.05%"
"Apr 29, 2015","9,831.48","9,906.57","9,974.26","9,825.08","-","-0.76%"
"Apr 28, 2015","9,906.57","9,991.80","10,020.67","9,831.97","-","-0.85%"
"Apr 27, 2015","9,991.80","9,932.03","10,008.08","9,845.63","-","0.60%"
"Apr 24, 2015","9,932.03","9,939.47","9,980.26","9,924.20","-","-0.07%"
"Apr 23, 2015","9,939.47","9,916.74","9,951.57","9,875.95","-","0.23%"
"Apr 22, 2015","9,916.74","9,955.34","10,006.33","9,845.16","-","-0.39%"
"Apr 21, 2015","9,955.34","9,806.40","9,974.11","9,806.40","-","1.52%"
"Apr 20, 2015","9,806.40","9,751.46","9,857.26","9,748.24","-","0.56%"
"Apr 17, 2015","9,751.46","9,921.48","9,957.73","9,746.32","-","-1.71%"
"Apr 16, 2015","9,921.48","9,947.40","9,994.54","9,877.39","-","-0.26%"
"Apr 15, 2015","9,947.40","9,955.66","9,980.19","9,923.32","-","-0.08%"
"Apr 14, 2015","9,955.66","10,052.16","10,054.29","9,927.68","-","-0.96%"
"Apr 13, 2015","10,052.16","10,089.06","10,109.02","10,008.28","-","-0.37%"
"Apr 10, 2015","10,089.06","9,947.47","10,091.63","9,947.47","-","1.42%"
"Apr 09, 2015","9,947.47","9,769.18","9,947.47","9,769.18","-","1.83%"
"Apr 08, 2015","9,769.18","9,725.80","9,796.71","9,718.82","-","0.45%"
"Apr 07, 2015","9,725.80","9,629.36","9,744.04","9,629.36","-","1.00%"
"Apr 02, 2015","9,629.36","9,519.73","9,634.49","9,507.15","-","1.15%"
"Apr 01, 2015","9,519.73","9,500.73","9,607.05","9,479.41","-","0.20%"
"Mar 31, 2015","9,500.73","9,611.97","9,675.70","9,474.43","-","-1.16%"
"Mar 30, 2015","9,611.97","9,507.57","9,627.52","9,507.57","-","1.10%"
"Mar 27, 2015","9,507.57","9,550.77","9,627.95","9,496.14","-","-0.45%"
"Mar 26, 2015","9,550.77","9,797.23","9,797.23","9,454.48","-","-2.52%"
"Mar 25, 2015","9,797.23","9,876.65","9,928.32","9,794.22","-","-0.80%"
"Mar 24, 2015","9,876.65","9,832.98","9,926.73","9,827.00","-","0.44%"
"Mar 23, 2015","9,832.98","9,785.76","9,835.37","9,778.94","-","0.48%"
"Mar 20, 2015","9,785.76","9,768.45","9,830.67","9,767.82","-","0.18%"
"Mar 19, 2015","9,768.45","9,708.57","9,806.89","9,708.57","-","0.62%"
"Mar 18, 2015","9,708.57","9,570.97","9,712.68","9,565.97","-","1.44%"
"Mar 17, 2015","9,570.97","9,605.69","9,648.24","9,515.61","-","-0.36%"
"Mar 16, 2015","9,605.69","9,453.21","9,609.09","9,453.21","-","1.61%"
"Mar 13, 2015","9,453.21","9,440.29","9,482.83","9,423.77","-","0.14%"
"Mar 12, 2015","9,440.29","9,330.12","9,443.92","9,330.12","-","1.18%"
"Mar 11, 2015","9,330.12","9,269.76","9,338.51","9,245.45","-","0.65%"
"Mar 10, 2015","9,269.76","9,450.92","9,500.85","9,269.76","-","-1.92%"
"Mar 09, 2015","9,450.92","9,526.10","9,526.10","9,426.00","-","-0.79%"
"Mar 06, 2015","9,526.10","9,526.64","9,555.33","9,492.44","-","-0.01%"
"Mar 05, 2015","9,526.64","9,420.76","9,526.64","9,405.67","-","1.12%"
"Mar 04, 2015","9,420.76","9,431.43","9,461.59","9,350.58","-","-0.11%"
"Mar 03, 2015","9,431.43","9,541.48","9,575.61","9,431.43","-","-1.15%"
"Mar 02, 2015","9,541.48","9,509.48","9,569.50","9,480.22","-","0.34%"
"Feb 27, 2015","9,509.48","9,504.37","9,517.79","9,485.37","-","0.05%"
"Feb 26, 2015","9,504.37","9,502.09","9,510.07","9,461.68","-","0.02%"
"Feb 25, 2015","9,502.09","9,504.26","9,543.31","9,473.73","-","-0.02%"
"Feb 24, 2015","9,504.26","9,476.32","9,512.34","9,444.88","-","0.29%"
"Feb 23, 2015","9,476.32","9,378.41","9,476.32","9,378.41","-","1.04%"
"Feb 20, 2015","9,378.41","9,324.67","9,379.49","9,290.93","-","0.58%"
"Feb 19, 2015","9,324.67","9,292.91","9,339.05","9,284.09","-","0.34%"
"Feb 18, 2015","9,292.91","9,195.10","9,292.91","9,192.86","-","1.06%"
"Feb 17, 2015","9,195.10","9,140.92","9,195.38","9,108.94","-","0.59%"
"Feb 16, 2015","9,140.92","9,137.38","9,150.81","9,116.93","-","0.04%"
"Feb 13, 2015","9,137.38","9,094.03","9,159.57","9,093.79","-","0.48%"
"Feb 12, 2015","9,094.03","8,989.52","9,094.17","8,971.56","-","1.16%"
"Feb 11, 2015","8,989.52","9,020.24","9,020.24","8,959.13","-","-0.34%"
"Feb 10, 2015","9,020.24","8,944.05","9,020.24","8,938.11","-","0.85%"
"Feb 09, 2015","8,944.05","9,033.53","9,033.53","8,918.77","-","-0.99%"
"Feb 06, 2015","9,033.53","8,980.28","9,045.84","8,956.43","-","0.59%"
"Feb 05, 2015","8,980.28","8,989.24","8,992.75","8,940.61","-","-0.10%"
"Feb 04, 2015","8,989.24","9,026.01","9,026.28","8,932.62","-","-0.41%"
"Feb 03, 2015","9,026.01","8,921.29","9,041.80","8,913.38","-","1.17%"
"Feb 02, 2015","8,921.29","8,925.08","8,973.30","8,863.89","-","-0.04%"
"Jan 30, 2015","8,925.08","9,022.54","9,059.04","8,925.08","-","-1.08%"
"Jan 29, 2015","9,022.54","9,027.04","9,028.44","8,893.87","-","-0.05%"
"Jan 28, 2015","9,027.04","8,939.79","9,027.04","8,914.28","-","0.98%"
"Jan 27, 2015","8,939.79","9,017.33","9,045.84","8,914.02","-","-0.86%"
"Jan 26, 2015","9,017.33","8,940.57","9,017.33","8,874.82","-","0.86%"
"Jan 23, 2015","8,940.57","8,866.20","8,953.72","8,866.20","-","0.84%"
"Jan 22, 2015","8,866.20","8,653.87","8,876.88","8,653.87","-","2.45%"
"Jan 21, 2015","8,653.87","8,517.33","8,653.87","8,515.96","-","1.60%"
"Jan 20, 2015","8,517.33","8,459.06","8,546.20","8,459.06","-","0.69%"
"Jan 19, 2015","8,459.06","8,384.95","8,473.43","8,371.84","-","0.88%"
"Jan 16, 2015","8,384.95","8,400.35","8,402.60","8,269.95","-","-0.18%"
"Jan 15, 2015","8,400.35","8,367.74","8,440.37","8,260.02","-","0.39%"
"Jan 14, 2015","8,367.74","8,515.60","8,515.60","8,342.05","-","-1.74%"
"Jan 13, 2015","8,515.60","8,381.76","8,528.02","8,380.96","-","1.60%"
"Jan 12, 2015","8,381.76","8,458.45","8,511.03","8,352.04","-","-0.91%"
"Jan 09, 2015","8,458.45","8,478.82","8,552.08","8,418.79","-","-0.24%"
"Jan 08, 2015","8,478.82","8,318.86","8,487.74","8,318.86","-","1.92%"
"Jan 07, 2015","8,318.86","8,321.01","8,403.56","8,301.21","-","-0.03%"
"Jan 06, 2015","8,321.01","8,445.73","8,466.91","8,318.72","-","-1.48%"
"Jan 05, 2015","8,445.73","8,540.00","8,624.83","8,435.97","-","-1.10%"
"Jan 04, 2015","8,540.00","8,540.00","8,540.00","8,540.00","-","0.00%"
"Jan 02, 2015","8,540.00","8,529.49","8,557.53","8,470.66","-","0.12%"
"Dec 31, 2014","8,529.49","8,454.29","8,556.51","8,446.19","-","0.89%"
"Dec 30, 2014","8,454.29","8,567.06","8,567.26","8,426.83","-","-1.32%"
"Dec 29, 2014","8,567.06","8,554.69","8,624.11","8,523.27","-","0.14%"
"Dec 28, 2014","8,554.69","8,554.69","8,554.69","8,554.69","-","0.00%"
"Dec 24, 2014","8,554.69","8,565.37","8,614.08","8,554.69","-","-0.12%"
"Dec 23, 2014","8,565.37","8,547.99","8,587.65","8,521.27","-","0.20%"
"Dec 22, 2014","8,547.99","8,472.37","8,556.31","8,472.37","-","0.89%"
"Dec 19, 2014","8,472.37","8,369.42","8,490.76","8,369.42","-","1.23%"
"Dec 18, 2014","8,369.42","8,138.31","8,387.14","8,138.31","-","2.84%"
"Dec 17, 2014","8,138.31","8,079.78","8,162.90","8,019.51","-","0.72%"
"Dec 16, 2014","8,079.78","7,914.77","8,079.78","7,891.89","-","2.08%"
"Dec 15, 2014","7,914.77","8,055.34","8,103.16","7,914.77","-","-1.75%"
