"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 08, 2017","117.65","116.56","117.91","116.40","-","1.00%"
"Dec 07, 2017","116.49","116.86","117.30","116.36","-","-0.32%"
"Dec 06, 2017","116.86","115.82","117.18","115.82","-","0.33%"
"Dec 05, 2017","116.47","116.86","117.22","116.44","-","-0.20%"
"Dec 04, 2017","116.70","117.11","117.19","116.41","-","0.54%"
"Dec 01, 2017","116.07","116.52","116.96","115.88","-","-0.33%"
"Nov 30, 2017","116.45","117.34","118.09","116.45","-","-1.03%"
"Nov 29, 2017","117.66","118.20","118.44","117.56","-","-0.93%"
"Nov 28, 2017","118.77","117.66","118.88","117.66","-","0.87%"
"Nov 27, 2017","117.74","117.88","118.64","117.74","-","-0.34%"
"Nov 24, 2017","118.14","118.23","118.38","117.81","-","-0.07%"
"Nov 23, 2017","118.22","117.85","118.32","117.58","-","-0.11%"
"Nov 22, 2017","118.35","118.24","119.01","118.23","-","0.13%"
"Nov 21, 2017","118.20","117.49","118.35","117.41","-","0.37%"
"Nov 20, 2017","117.77","117.26","117.87","117.10","-","0.17%"
"Nov 17, 2017","117.57","117.46","117.98","117.22","-","-0.12%"
"Nov 16, 2017","117.71","117.55","117.80","117.32","-","0.27%"
"Nov 15, 2017","117.39","117.52","117.77","117.14","-","-0.47%"
"Nov 14, 2017","117.95","118.18","118.32","117.71","-","-0.03%"
"Nov 13, 2017","117.99","118.72","118.82","117.81","-","-0.21%"
"Nov 10, 2017","118.24","119.21","119.31","118.03","-","-0.67%"
"Nov 09, 2017","119.04","119.47","119.86","118.94","-","-0.58%"
"Nov 08, 2017","119.73","119.51","119.83","119.32","-","0.21%"
"Nov 07, 2017","119.48","120.56","120.56","119.38","-","-0.65%"
"Nov 06, 2017","120.26","120.32","120.43","120.00","-","-0.04%"
"Nov 03, 2017","120.31","120.39","120.66","119.98","-","0.00%"
"Nov 02, 2017","120.31","119.24","120.43","119.06","-","0.86%"
"Nov 01, 2017","119.28","119.85","119.95","119.28","-","0.01%"
"Oct 31, 2017","119.27","119.40","119.76","119.13","-","0.00%"
"Oct 30, 2017","119.27","119.37","119.55","119.13","-","-0.34%"
"Oct 27, 2017","119.68","119.35","119.86","119.33","-","0.32%"
"Oct 26, 2017","119.30","118.70","119.32","118.60","-","0.57%"
"Oct 25, 2017","118.62","119.77","120.07","118.47","-","-1.14%"
"Oct 24, 2017","119.99","119.75","120.16","119.75","-","0.01%"
"Oct 23, 2017","119.98","120.03","120.32","119.81","-","0.02%"
"Oct 20, 2017","119.96","120.54","120.62","119.87","-","-0.03%"
"Oct 19, 2017","120.00","120.00","120.12","119.40","-","-0.30%"
"Oct 18, 2017","120.36","120.29","120.55","120.18","-","0.25%"
"Oct 17, 2017","120.06","120.22","120.63","119.94","-","-0.10%"
"Oct 16, 2017","120.18","120.56","120.60","119.93","-","-0.02%"
"Oct 13, 2017","120.21","120.11","120.51","119.97","-","-0.23%"
"Oct 12, 2017","120.49","120.04","120.64","120.04","-","0.27%"
"Oct 11, 2017","120.16","120.43","120.43","119.97","-","-0.10%"
"Oct 10, 2017","120.28","119.92","120.36","119.69","-","0.47%"
"Oct 09, 2017","119.72","119.78","119.93","119.50","-","-0.20%"
"Oct 06, 2017","119.96","119.83","120.02","119.75","-","0.22%"
"Oct 05, 2017","119.70","119.03","119.70","119.03","-","0.55%"
"Oct 04, 2017","119.04","118.94","119.20","118.87","-","0.02%"
"Oct 03, 2017","119.02","118.55","119.03","118.45","-","0.34%"
"Oct 02, 2017","118.62","117.65","118.62","117.65","-","0.94%"
"Sep 29, 2017","117.51","116.97","117.68","116.89","-","0.71%"
"Sep 28, 2017","116.68","116.70","116.76","116.21","-","0.05%"
"Sep 27, 2017","116.62","116.55","116.89","116.24","-","0.44%"
"Sep 26, 2017","116.11","116.23","116.54","115.94","-","-0.25%"
"Sep 25, 2017","116.40","116.19","116.60","116.03","-","-0.22%"
"Sep 22, 2017","116.66","115.60","116.83","115.59","-","0.62%"
"Sep 21, 2017","115.94","116.00","116.36","115.87","-","-0.05%"
"Sep 20, 2017","116.00","116.08","116.36","115.70","-","-0.20%"
"Sep 19, 2017","116.23","115.78","116.38","115.74","-","0.27%"
"Sep 18, 2017","115.92","115.82","115.97","115.54","-","0.54%"
"Sep 15, 2017","115.30","116.27","116.29","115.00","-","-1.11%"
"Sep 14, 2017","116.59","117.88","118.14","116.49","-","-1.26%"
"Sep 13, 2017","118.08","118.05","118.43","117.37","-","-0.33%"
"Sep 12, 2017","118.47","118.82","119.04","118.27","-","-0.12%"
"Sep 11, 2017","118.61","118.54","118.87","118.12","-","0.53%"
"Sep 08, 2017","117.98","117.93","118.18","117.72","-","-0.24%"
"Sep 07, 2017","118.26","117.78","118.56","117.50","-","0.51%"
"Sep 06, 2017","117.66","117.36","117.95","117.13","-","-0.22%"
"Sep 05, 2017","117.92","118.82","119.03","117.87","-","-0.63%"
"Sep 04, 2017","118.67","118.64","119.03","118.60","-","-0.40%"
"Sep 01, 2017","119.15","119.30","119.51","119.13","-","0.14%"
"Aug 31, 2017","118.98","118.19","119.18","118.12","-","0.96%"
"Aug 30, 2017","117.85","118.03","118.14","117.63","-","0.40%"
"Aug 29, 2017","117.38","117.60","117.60","116.55","-","-0.89%"
"Aug 28, 2017","118.44","118.76","118.76","118.44","-","0.00%"
"Aug 25, 2017","118.44","118.81","119.09","118.44","-","-0.08%"
"Aug 24, 2017","118.53","118.28","119.01","118.28","-","0.39%"
"Aug 23, 2017","118.07","117.81","118.29","117.70","-","-0.01%"
"Aug 22, 2017","118.08","117.68","118.17","117.68","-","0.97%"
"Aug 21, 2017","116.94","116.76","117.18","116.61","-","-0.09%"
"Aug 18, 2017","117.04","117.26","117.34","116.69","-","-0.88%"
"Aug 17, 2017","118.08","118.59","118.84","118.01","-","-0.66%"
